id	supported by	compatible with	conflicts with	is trivial in
mrcaott801ott3261			node node5 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott801ott3261	node Tn13587377 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott801ott3261	node Tn8979934 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott801ott634728	node Tn13587470 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott801ott9887	node Tn13587306 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott874760ott1057299	node Tn13587393 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott90511ott165949		node Tn13587390 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott90511ott165949	node Tn8987759 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott90511ott165958				node ott518277 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott90511ott165958		node node8 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1		
mrcaott90511ott165958	node Tn8987721 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870			
mrcaott90511ott3623485				node ott3623546 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870
mrcaott90511ott3623485				node ott518277 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott90511ott3623485	node node23 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1			
mrcaott90511ott3623492				node ott3623546 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870
mrcaott90511ott3623492				node ott518277 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
