id	supported by	compatible with	conflicts with	is trivial in
ott4606640	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott4606640	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott4606640	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606634	node ott5048923 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott4606634	node ott5048923 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606642	node ott4606643 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott3407762	node ott5048903 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott3407762	node ott5048903 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606629	node ott4606629 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606630	node ott5048921 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott4606630	node ott5048921 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048975	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5048975	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
